2018 Kaggle Machine Learning and Data Science Survey,Q1,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q2,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q3,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q4,Q40,Q41,Q42,Q43,Q44,Q45,Q46,Q47,Q48,Q49,Q5,Q50,Q6,Q7,Q8,Q9,Time from Start to Finish (seconds)
Question:,What is your gender? - Selected Choice,Does your current employer incorporate machine learning methods into their business?,Select any activities that make up an important part of your role at work: (Select all that apply) - Selected Choice,What is the primary tool that you use at work or school to analyze data? (include text response) - Selected Choice,Which of the following integrated development environments (IDE's) have you used at work or school in the last 5 years? (Select all that apply) - Selected Choice,Which of the following hosted notebooks have you used at work or school in the last 5 years? (Select all that apply) - Selected Choice,Which of the following cloud computing services have you used at work or school in the last 5 years? (Select all that apply) - Selected Choice,What programming languages do you use on a regular basis? (Select all that apply) - Selected Choice,What specific programming language do you use most often? - Selected Choice,What programming language would you recommend an aspiring data scientist to learn first? - Selected Choice,What machine learning frameworks have you used in the past 5 years? (Select all that apply) - Selected Choice,What is your age (# years)?,"Of the choices that you selected in the previous question, which ML library have you used the most? - Selected Choice",What data visualization libraries or tools have you used in the past 5 years? (Select all that apply) - Selected Choice,"Of the choices that you selected in the previous question, which specific data visualization library or tool have you used the most? - Selected Choice",Approximately what percent of your time at work or school is spent actively coding?,How long have you been writing code to analyze data?,For how many years have you used machine learning methods (at work or in school)?,Do you consider yourself to be a data scientist?,Which of the following cloud computing products have you used at work or school in the last 5 years (Select all that apply)? - Selected Choice,Which of the following machine learning products have you used at work or school in the last 5 years? (Select all that apply) - Selected Choice,Which of the following relational database products have you used at work or school in the last 5 years? (Select all that apply) - Selected Choice,In which country do you currently reside?,Which of the following big data and analytics products have you used at work or school in the last 5 years? (Select all that apply) - Selected Choice,Which types of data do you currently interact with most often at work or school? (Select all that apply) - Selected Choice,What is the type of data that you currently interact with most often at work or school? - Selected Choice,Where do you find public datasets? (Select all that apply) - Selected Choice,"During a typical data science project at work or school, approximately what proportion of your time is devoted to the following? (Answers must add up to 100%) - Cleaning data",What percentage of your current machine learning/data science training falls under each category? (Answers must add up to 100%) - Self-taught,On which online platforms have you begun or completed data science courses? (Select all that apply) - Selected Choice,On which online platform have you spent the most amount of time? - Selected Choice,Who/what are your favorite media sources that report on data science topics? (Select all that apply) - Selected Choice,How do you perceive the quality of online learning platforms and in-person bootcamps as compared to the quality of the education provided by traditional brick and mortar institutions? - Online learning platforms and MOOCs:,What is the highest level of formal education that you have attained or plan to attain within the next 2 years?,Which better demonstrates expertise in data science: academic achievements or independent projects? - Your views:,How do you perceive the importance of the following topics? - Fairness and bias in ML algorithms:,What metrics do you or your organization use to determine whether or not your models were successful? (Select all that apply) - Selected Choice,Approximately what percent of your data projects involved exploring unfair bias in the dataset and/or algorithm?,What do you find most difficult about ensuring that your algorithms are fair and unbiased? (Select all that apply),In what circumstances would you explore model insights and interpret your model's predictions? (Select all that apply),Approximately what percent of your data projects involve exploring model insights?,What methods do you prefer for explaining and/or interpreting decisions that are made by ML models? (Select all that apply) - Selected Choice,"Do you consider ML models to be ""black boxes"" with outputs that are difficult or impossible to explain?",What tools and methods do you use to make your work easy to reproduce? (Select all that apply) - Selected Choice,Which best describes your undergraduate major? - Selected Choice,What barriers prevent you from making your work even easier to reuse and reproduce? (Select all that apply) - Selected Choice,Select the title most similar to your current role (or most recent title if retired): - Selected Choice,In what industry is your current employer/contract (or your most recent employer if retired)? - Selected Choice,How many years of experience do you have in your current role?,What is your current yearly compensation (approximate $USD)?,Duration (in seconds)
# of Respondents:,23860,20670,19518,19199,19117,18971,18864,18828,15223,18789,18697,23860,12990,18593,12185,18548,18534,18492,18481,11060,10887,10719,23860,9746,16922,13879,16816,15938,15746,15672,9671,16338,15980,23439,15880,14937,13584,13120,13344,13653,13290,13418,13369,12891,22948,12814,22901,21686,21102,20186,23860
Who was excluded? (0 = not excluded; 1 = excluded),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
If What is your age (# years)? 0-17 Is Selected Edit Condition,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
If What is the highest level of formal education that you have attained or plan to attain within the... No formal education past high school Is Selected Edit Condition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
If Select the title most similar to your current role (or most recent title if retired): Not employed Is Selected Edit Condition,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
Or How long have you been writing code to analyze data? I have never written code and I do not want to learn Is Selected Edit Condition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0
If How do you perceive the importance of the following topics? Fairness and bias in ML algorithms: - No opinion; I do not know Is SelectedEdit Condition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
If How do you perceive the importance of the following topics? Being able to explain ML model outputs and/or predictions - No opinion; I do not know Is Selected Edit Condition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
If How do you perceive the importance of the following topics? Reproducibility in data science - No opinion; I do not know Is SelectedEdit Condition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
If Which of the following cloud computing services have you used at work or school in the last 5 yea... I have not used any cloud providers Is Not Selected Edit Condition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
If On which online platforms have you begun or completed data science courses? (Select all that apply) None Is Selected Edit Condition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
